Appraise,0,0
Balance,0,0
Bluff,0,0
Climb,0,0
Concentration,0,0
Craft,11,0
Decipher Script,11,0
Diplomacy,0,0
Disable Device,0,0
Disguise,0,0
Escape Artist,0,0
Forgery,11,0
Gather Information,0,0
Handle Animal,0,0
Heal,0,0
Hide,12,0
Intimidate,0,0
Jump,0,0
Knowledge,11,0
Listen,9,0
Move Silently,12,0
Open Lock,0,0
Perform,0,0
Profession,9,0
Ride,0,0
Search,0,0
Sense Motive,0,0
Sleight Of Hand,0,0
Spellcraft,0,0
Spot,0,0
Survival,0,0
Swim,0,0
Tumble,0,0
Use Magic Device,0,0
Use Rope,0,0
Strength,-1,0
Dexterity,4,0
Constitution,-2,0
Intelligence,3,0
Wisdom,1,0
Charisma,3,0
Fortitude Save,2,0
Reflex Save,5,0
Will Save,9,0
Base Attack Bonus,3,0
Grapple,-1,0
Initiative,8,0
Dodge (AC),14,0
Hit Points,10,0
Spell Resistance,16,0
SPARE,0,0
SPARE,0,0
SPARE,0,0
SPARE,0,0
SPARE,0,0
