Armour,Body Leather,1,30.0,False,['Dodge (AC); 2'],['SPARE;Default']
Flail,1D8+Str; 20 crit * 2; bludgeon,1,10.0,False,['SPARE;0'],['SPARE;Default']
Vial,Acid Splash; 1D4 acid dmg; 5ft radius,1,0.5,False,['SPARE;0'],['SPARE;Default']
Idol,Hextor; Silver Symbol,1,0.2,False,['SPARE;0'],['SPARE;Default']
Silk Rope,Silk rope,1,5.0,False,['Use Rope;2'],['SPARE;Default']
Grappling Hook,Description,1,2.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
Weapon Focus,Flail; +1 attack rolls,1,0.0,True,['Base Attack Bonus; 1'],['SPARE;Default']
Persuasive,+2 bluff/intimidate,1,0.0,True,['Bluff;2;Intimidate;2'],['SPARE;Default']
Power Attack,Trade ab for damage,1,0.0,False,['Base Attack Bonus;-5'],['SPARE;Default']
Cleave,extra melee attack after dropping target,1,0.0,True,['SPARE;0'],['SPARE;Default']
Endurance,Can sleep in light/heavy arm without becoming fatigued; +4 to survive long runs and drowning,1,0.0,False,['Fortitude Save;4'],['SPARE;Default']
Great Cleave,no limit to cleave attacks per round,1,0.0,True,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
SPARE,Description,1,0.0,False,['SPARE;0'],['SPARE;Default']
