Appraise,0,0
Balance,0,0
Bluff,0,0
Climb,4,0
Concentration,0,0
Craft,4,0
Decipher Script,0,0
Diplomacy,0,0
Disable Device,0,0
Disguise,0,0
Escape Artist,0,0
Forgery,0,0
Gather Information,0,0
Handle Animal,4,0
Heal,0,0
Hide,0,0
Intimidate,0,0
Jump,4,0
Knowledge,0,0
Listen,0,0
Move Silently,0,0
Open Lock,0,0
Perform,0,0
Profession,3,0
Ride,0,0
Search,0,0
Sense Motive,0,0
Sleight Of Hand,0,0
Spellcraft,0,0
Spot,3,0
Survival,0,0
Swim,4,0
Tumble,0,0
Use Magic Device,0,0
Use Rope,4,0
Strength,2,0
Dexterity,2,0
Constitution,0,0
Intelligence,2,0
Wisdom,1,0
Charisma,2,0
Fortitude Save,0,0
Reflex Save,2,0
Will Save,2,0
Base Attack Bonus,2,0
Grapple,2,0
Initiative,2,0
Dodge (AC),12,0
Hit Points,4,0
SPARE,0,0
SPARE,0,0
SPARE,0,0
SPARE,0,0
SPARE,0,0
SPARE,0,0
